epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,308.721,0.55865,0.39566,0.96451,0.3311,0.33333,0.37774,0.31943,0.63793,4.37068,0.98227,0.000580174,0.000580174,0.000580174
62,312.955,0.53456,0.38352,0.94482,0.33333,0.32452,0.37251,0.31089,0.61693,4.49499,0.95883,0.000566027,0.000566027,0.000566027
63,317.323,0.56753,0.39854,0.97796,0.32658,0.33333,0.36814,0.30257,0.59339,4.72932,0.94593,0.00055188,0.00055188,0.00055188
64,322.565,0.54724,0.38259,0.96337,0.30632,0.33333,0.35136,0.2945,0.55235,4.6929,0.93468,0.000537733,0.000537733,0.000537733
65,327.21,0.52347,0.38008,0.95922,0.31972,0.33333,0.35154,0.30118,0.53749,4.61174,0.93008,0.000523586,0.000523586,0.000523586
66,331.466,0.49861,0.35858,0.95988,0.3205,0.33333,0.35663,0.31442,0.52505,4.5657,0.92013,0.000509438,0.000509438,0.000509438
67,335.879,0.53176,0.3639,0.93727,0.32454,0.33333,0.36177,0.31169,0.54786,4.75961,0.94052,0.000495291,0.000495291,0.000495291
68,340.953,0.54934,0.36685,0.96137,0.3283,0.33333,0.36036,0.30274,0.56827,4.72264,0.95149,0.000481144,0.000481144,0.000481144
69,348.28,0.53523,0.36537,0.95701,0.33139,0.33333,0.36221,0.30076,0.57836,4.60521,0.9547,0.000466997,0.000466997,0.000466997
70,352.735,0.5097,0.3403,0.9439,0.33333,0.33266,0.36525,0.30062,0.57985,4.46409,0.94857,0.00045285,0.00045285,0.00045285
71,356.902,0.52563,0.3541,0.96611,0.33207,0.33333,0.3661,0.31108,0.60056,4.56666,0.95373,0.000438703,0.000438703,0.000438703
72,362.041,0.53556,0.37007,0.95721,0.33173,0.33333,0.36844,0.30559,0.61297,4.63356,0.9634,0.000424556,0.000424556,0.000424556
73,366.832,0.49105,0.3338,0.91629,0.33156,0.33333,0.36004,0.29425,0.61427,4.63808,0.95932,0.000410409,0.000410409,0.000410409
74,371.143,0.51256,0.34459,0.93295,0.33145,0.33333,0.35871,0.28476,0.60384,4.65326,0.95876,0.000396262,0.000396262,0.000396262
75,375.951,0.49335,0.33147,0.94933,0.33147,0.33333,0.36024,0.29347,0.60827,4.5565,0.95766,0.000382115,0.000382115,0.000382115
76,381.145,0.50305,0.34987,0.94729,0.33102,0.33333,0.36226,0.30333,0.6149,4.53939,0.95749,0.000367967,0.000367967,0.000367967
77,385.794,0.503,0.346,0.95115,0.33045,0.33333,0.36491,0.30391,0.6115,4.51452,0.95612,0.00035382,0.00035382,0.00035382
78,390.421,0.48154,0.32752,0.92936,0.32831,0.33333,0.37142,0.312,0.58643,4.50665,0.95097,0.000339673,0.000339673,0.000339673
79,394.895,0.46682,0.33325,0.92836,0.32838,0.33333,0.38039,0.32849,0.58558,4.46767,0.95693,0.000325526,0.000325526,0.000325526
80,400.354,0.4664,0.3214,0.90247,0.33037,0.33333,0.37515,0.32061,0.57443,4.51522,0.9529,0.000311379,0.000311379,0.000311379
81,405.155,0.45118,0.30957,0.90433,0.33038,0.33333,0.37022,0.32143,0.58439,4.5582,0.95414,0.000297232,0.000297232,0.000297232
82,410.697,0.42671,0.29182,0.90628,0.33026,0.33333,0.37114,0.31995,0.58751,4.60284,0.96034,0.000283085,0.000283085,0.000283085
83,415.145,0.44551,0.29866,0.90204,0.33025,0.33333,0.37125,0.32341,0.56382,4.61952,0.97006,0.000268938,0.000268938,0.000268938
84,420.252,0.47553,0.3185,0.92371,0.33146,0.33333,0.36678,0.31958,0.56636,4.53517,0.98418,0.000254791,0.000254791,0.000254791
85,425.08,0.41438,0.3146,0.92041,0.33135,0.33333,0.36635,0.31144,0.57172,4.51197,0.98718,0.000240644,0.000240644,0.000240644
86,429.268,0.45194,0.31208,0.91813,0.33108,0.33333,0.36553,0.31365,0.57108,4.49828,0.98611,0.000226497,0.000226497,0.000226497
87,433.689,0.48755,0.32809,0.95219,0.33118,0.33333,0.3645,0.31635,0.56624,4.53233,0.97536,0.000212349,0.000212349,0.000212349
